2pf_1.0_GHz	2pf_1.0_GHz	2pf_2.0_GHz	2pf_2.0_GHz	2pf_3.0_GHz	2pf_3.0_GHz	2pf_4.0_GHz	2pf_4.0_GHz	2pf_5.0_GHz	2pf_5.0_GHz	2pf_6.0_GHz	2pf_6.0_GHz	2pf_7.0_GHz	2pf_7.0_GHz	2pf_8.0_GHz	2pf_8.0_GHz	2pf_9.0_GHz	2pf_9.0_GHz	2pf_10.0_GHz	2pf_10.0_GHz	2pf_11.0_GHz	2pf_11.0_GHz	2pf_12.0_GHz	2pf_12.0_GHz	2pf_13.0_GHz	2pf_13.0_GHz	2pf_14.0_GHz	2pf_14.0_GHz	2pf_15.0_GHz	2pf_15.0_GHz	2pf_16.0_GHz	2pf_16.0_GHz	2pf_17.0_GHz	2pf_17.0_GHz
515.600000E+0	17.497430E-6	522.400000E+0	4.349181E-6	526.000000E+0	336.023000E-9	521.700000E+0	-2.131564E-6	518.800000E+0	-5.033269E-6	520.100000E+0	-6.049529E-6	527.800000E+0	-2.435361E-6	527.600000E+0	-2.398853E-6	522.500000E+0	-2.245682E-6	527.400000E+0	-669.252000E-9	521.300000E+0	1.600639E-6	524.600000E+0	130.106433E-9	522.300000E+0	-613.248400E-9	523.200000E+0	72.084773E-9	526.300000E+0	551.688067E-9	522.500000E+0	221.531667E-9	525.000000E+0	354.214733E-9
570.500000E+0	17.267200E-6	582.500000E+0	3.953675E-6	570.100000E+0	547.744933E-9	577.100000E+0	-1.897363E-6	582.500000E+0	-5.364011E-6	580.800000E+0	-5.753243E-6	581.000000E+0	-2.549788E-6	575.400000E+0	-2.500989E-6	572.000000E+0	-2.267412E-6	580.500000E+0	-721.468133E-9	576.200000E+0	1.606850E-6	572.900000E+0	48.149620E-9	576.200000E+0	-659.659467E-9	572.200000E+0	23.748853E-9	581.300000E+0	541.350467E-9	582.000000E+0	308.145533E-9	580.400000E+0	217.340600E-9
624.700000E+0	15.780450E-6	625.900000E+0	4.467148E-6	623.800000E+0	384.575867E-9	625.500000E+0	-2.056500E-6	632.400000E+0	-5.487568E-6	633.700000E+0	-5.980984E-6	629.100000E+0	-2.437101E-6	624.400000E+0	-2.608711E-6	636.600000E+0	-2.387119E-6	628.600000E+0	-579.037933E-9	631.900000E+0	1.705072E-6	624.800000E+0	83.943647E-9	625.100000E+0	-648.328267E-9	632.100000E+0	-4.377234E-9	629.400000E+0	582.359733E-9	625.100000E+0	285.265867E-9	628.400000E+0	203.929533E-9
671.300000E+0	16.113090E-6	681.600000E+0	4.550594E-6	684.600000E+0	396.496733E-9	685.100000E+0	-1.923129E-6	680.400000E+0	-5.656573E-6	682.000000E+0	-6.457198E-6	677.200000E+0	-2.261142E-6	684.200000E+0	-2.697249E-6	684.400000E+0	-2.343843E-6	682.100000E+0	-533.216600E-9	686.800000E+0	1.819439E-6	683.500000E+0	21.079035E-9	678.600000E+0	-620.481733E-9	686.800000E+0	33.248427E-9	689.200000E+0	437.599533E-9	685.400000E+0	339.903467E-9	678.800000E+0	279.988333E-9
725.200000E+0	16.288190E-6	736.600000E+0	4.648075E-6	727.600000E+0	652.860733E-9	728.400000E+0	-1.936293E-6	738.600000E+0	-6.276087E-6	730.200000E+0	-6.441925E-6	737.900000E+0	-2.427103E-6	737.500000E+0	-2.521353E-6	732.600000E+0	-2.470689E-6	735.300000E+0	-498.571600E-9	729.600000E+0	1.991555E-6	731.500000E+0	-40.202307E-9	730.600000E+0	-592.976667E-9	740.000000E+0	-6.426163E-9	731.900000E+0	413.757333E-9	733.300000E+0	249.595933E-9	733.100000E+0	217.620333E-9
783.200000E+0	15.384440E-6	789.300000E+0	4.503037E-6	785.800000E+0	575.436267E-9	787.200000E+0	-2.125479E-6	781.300000E+0	-6.694439E-6	788.600000E+0	-6.455462E-6	783.200000E+0	-2.443930E-6	783.400000E+0	-2.567671E-6	790.500000E+0	-2.423626E-6	781.500000E+0	-536.010867E-9	782.900000E+0	1.951509E-6	783.800000E+0	-42.468520E-9	789.500000E+0	-654.971800E-9	790.500000E+0	-28.312353E-9	786.000000E+0	535.886733E-9	786.200000E+0	238.264667E-9	791.200000E+0	245.560133E-9
825.100000E+0	15.670200E-6	837.300000E+0	4.594802E-6	833.300000E+0	1.056933E-6	830.100000E+0	-2.091208E-6	836.500000E+0	-7.295887E-6	836.300000E+0	-6.517424E-6	835.900000E+0	-2.392581E-6	837.000000E+0	-2.947837E-6	838.100000E+0	-2.343533E-6	833.700000E+0	-485.842600E-9	831.800000E+0	1.817949E-6	835.600000E+0	-7.916280E-9	841.800000E+0	-704.642400E-9	834.200000E+0	-65.596527E-9	833.400000E+0	500.806933E-9	841.100000E+0	298.583800E-9	834.600000E+0	239.754667E-9
884.400000E+0	15.560270E-6	884.800000E+0	4.891833E-6	888.800000E+0	377.001481E-9	889.700000E+0	-2.156337E-6	892.000000E+0	-8.049601E-6	889.400000E+0	-6.502647E-6	884.500000E+0	-2.427288E-6	884.500000E+0	-2.828193E-6	892.100000E+0	-2.419777E-6	894.100000E+0	-387.183533E-9	892.800000E+0	1.874577E-6	888.800000E+0	-28.312359E-9	889.900000E+0	-723.486133E-9	893.000000E+0	-61.374473E-9	893.600000E+0	487.302600E-9	884.700000E+0	268.564200E-9	894.700000E+0	211.845733E-9
939.200000E+0	16.551580E-6	939.900000E+0	4.928092E-6	936.700000E+0	-213.398420E-9	937.200000E+0	-2.129141E-6	934.900000E+0	-9.228347E-6	937.100000E+0	-6.576408E-6	943.600000E+0	-2.576489E-6	933.800000E+0	-2.759587E-6	944.400000E+0	-2.455416E-6	942.300000E+0	-354.339000E-9	936.500000E+0	1.810747E-6	947.100000E+0	80.590893E-9	941.700000E+0	-680.396933E-9	945.600000E+0	-45.541959E-9	941.100000E+0	559.914667E-9	938.700000E+0	337.947933E-9	949.000000E+0	217.992733E-9
981.400000E+0	16.877540E-6	988.300000E+0	5.068909E-6	996.700000E+0	-113.497687E-9	997.800000E+0	-1.731647E-6	999.000000E+0	-10.625387E-6	986.300000E+0	-6.512085E-6	992.300000E+0	-2.908349E-6	997.800000E+0	-2.520484E-6	992.700000E+0	-2.594059E-6	989.900000E+0	-495.342200E-9	996.100000E+0	1.809257E-6	990.600000E+0	6.550337E-9	995.900000E+0	-461.038000E-9	994.000000E+0	-108.530693E-9	994.600000E+0	564.757733E-9	988.900000E+0	288.711667E-9	998.100000E+0	174.375600E-9
1.035600E+3	17.249700E-6	1.044000E+3	4.963605E-6	1.039900E+3	35.638833E-9	1.047400E+3	-1.876248E-6	1.042500E+3	-11.993320E-6	1.051300E+3	-7.051507E-6	1.041000E+3	-2.981303E-6	1.047400E+3	-2.643915E-6	1.041200E+3	-2.506205E-6	1.043900E+3	-576.306000E-9	1.052700E+3	2.007695E-6	1.046100E+3	25.984018E-9	1.044200E+3	-459.858067E-9	1.042900E+3	-176.859200E-9	1.043300E+3	609.492267E-9	1.048400E+3	150.099067E-9	1.053500E+3	168.818733E-9
