Hx,Hx_2f_voltage,Hy,Hy_2f_voltage
3208.7,-1.837622E-5,2542.1,2.629469E-5
3264.6,-1.754178E-5,2473.2,2.972272E-5
3321.9,-1.673708E-5,2405.8,3.345595E-5
3376.8,-1.598612E-5,2338.6,3.778957E-5
3373.2,-1.686826E-5,2068,5.667605E-5
3330.1,-1.650464E-5,1999.8,6.021509E-5
3276.9,-1.72378E-5,1932.8,6.254846E-5
3222.7,-1.78815E-5,1864.7,6.366829E-5
3167.4,-1.873983E-5,1797.4,6.393539E-5
3112.7,-1.972331E-5,1729.5,6.405646E-5
3059.1,-2.076634E-5,1661.9,6.519678E-5
3002.9,-2.186904E-5,1592.9,6.663922E-5
2948.7,-2.304326E-5,1524.9,6.816844E-5
2892.6,-2.453336E-5,1457,6.824891E-5
2838,-2.594005E-5,1389.6,6.456086E-5
2782.8,-2.781165E-5,1322.6,4.991167E-5
2725.9,-2.951631E-5,1255.5,2.893409E-5
2670.8,-3.177545E-5,1188.6,1.675311E-5
2613.9,-3.424905E-5,1118.5,1.204279E-5
2559.6,-3.702065E-5,1052.4,1.049941E-5
2503.8,-4.000688E-5,983.4,9.204133E-6
2446.8,-4.354145E-5,916.4,8.194208E-6
2391.1,-4.7529E-5,849.1,7.256895E-6
2335.1,-5.225559E-5,781.1,6.528973E-6
2280.4,-5.750678E-5,711.8,5.797326E-6
2223.5,-6.371784E-5,644.1,5.16924E-6
2168,-7.087037E-5,576.3,4.582507E-6
2112.7,-7.919716E-5,508,4.161551E-6
2055.5,-8.899022E-5,440.6,3.638507E-6
2000.9,-9.95104E-5,374.1,3.128514E-6
1943.6,-1.127009E-4,305.1,2.821921E-6
1887.6,-1.277455E-4,235.7,2.321242E-6
1831.1,-1.444706E-4,168.4,2.015767E-6
1775.7,-1.630972E-4,100.2,1.660742E-6
1719.6,-1.843699E-4,32.9,1.233452E-6
1662.8,-2.081702E-4,-32.3,9.507004E-7
1606.5,-2.351413E-4,-99.1,5.010544E-7
1549.5,-2.65654E-4,-166,1.7583465E-7
1495.2,-2.99527E-4,-235.3,-1.2442549E-7
1438.2,-3.37233E-4,-302.6,-5.960495E-7
1381.4,-3.677685E-4,-370.2,-1.018501E-6
1324.7,-3.70433E-4,-438.9,-1.415245E-6
1267.5,-3.23965E-4,-507,-1.867873E-6
1213,-2.183747E-4,-574.5,-2.491117E-6
1155.8,-1.0243107E-4,-642.3,-2.98658E-6
1099.3,-3.005877E-5,-711.1,7.235305E-6
1043.3,-9.858615E-6,-777.7,9.055495E-6
986.9,-5.431317E-6,-845.3,9.704813E-6
932.3,-5.025912E-6,-913.8,1.065811E-5
875,-4.617246E-6,-982.1,1.172579E-5
818.8,-4.371098E-6,-1050,1.301475E-5
762.1,-4.093843E-6,-1119.5,1.52641E-5
705.5,-3.795906E-6,-1186.6,2.108078E-5
649.7,-3.558039E-6,-1255,3.738837E-5
592.4,-3.305279E-6,-1323.3,5.514497E-5
536,-3.029608E-6,-1390.9,6.133472E-5
478.4,-2.996267E-6,-1459.4,6.168791E-5
424,-2.683994E-6,-1526.9,6.122524E-5
367.9,-2.44511E-6,-1596.6,6.079326E-5
310.7,-2.194956E-6,-1665.2,6.066884E-5
253.5,-1.941077E-6,-1733,6.085507E-5
196.8,-1.757505E-6,-1801.2,6.101091E-5
141.1,-1.563978E-6,-1869,6.068485E-5
84.3,-1.368027E-6,-1936.8,5.918615E-5
28.3,-1.139574E-6,-2005.3,5.623423E-5
-26.5,-9.31141E-7,-2075,5.24944E-5
-82.1,-6.979366E-7,-2142.9,4.80453E-5
-137.6,-4.025199E-7,-2210.3,4.330151E-5
-193.5,-2.405623E-7,-2277.9,3.854693E-5
-250.6,-3.6601157E-8,-2345.1,3.428146E-5
-306.8,1.88500809E-7,-2413.9,3.016493E-5
-363.9,4.20867E-7,-2483.9,2.672572E-5
-419.1,6.290189E-7,-2551.3,2.375405E-5
-476.2,9.405479E-7,-2619.1,2.116015E-5
-533.5,1.178506E-6,-2686.6,1.886164E-5
-590.6,1.470007E-6,-2754.2,1.693344E-5
-645.4,1.768496E-6,-2823.6,1.54135E-5
-701.9,4.93222E-6,-2891.9,1.387749E-5
-758.1,5.428522E-6,-2961.7,1.261874E-5
