Hx,Hx_1f_voltage,Hy,Hy_1f_voltage
-1595.7,-9.307929E-5,-1765.8,3.249188E-4
-1513.1,-4.24387E-4,-1681.6,5.054527E-6
-1430.5,-7.975616E-4,-1598.6,-3.339784E-4
-1346.6,-0.001249511,-1515.5,-7.059134E-4
-1263,-0.001766212,-1432.1,-0.00114251
-1178.5,-0.002468983,-1349.2,-0.001633366
-1095.3,-0.003273119,-1265.1,-0.002187362
-1012.7,-0.003733077,-1180.3,-0.002795043
-928.7,-0.003949765,-1097.7,-0.003336539
-845,-0.00410245,-1013.9,-0.003669467
-761.8,-0.004236728,-930.2,-0.0038913
-679.8,-0.004360993,-846.2,-0.004048855
-597.1,-0.004465132,-763.6,-0.004194097
-513.6,-0.004558497,-681.6,-0.004315595
-429.8,-0.004640894,-598.5,-0.004425555
-345.9,-0.004707177,-515.7,-0.004521687
-263.5,-0.004761628,-431.8,-0.004607898
-180.4,-0.004800634,-347.4,-0.004677134
-98.4,-0.004828577,-265,-0.004732257
-17.2,-0.004842405,-182.9,-0.004775171
64.6,-0.00484374,-99.8,-0.004803115
147.2,-0.004832297,-19.6,-0.004818279
230.7,-0.00480712,62.2,-0.0048199
313.9,-0.004768784,145.2,-0.004808932
399.3,-0.004715185,229.2,-0.004783565
480.9,-0.004649573,312.2,-0.004743225
564.3,-0.004569274,396.9,-0.004688103
647.3,-0.00447448,479.2,-0.004620391
731.5,0.002485386,562.1,-0.004538852
813.5,0.009837877,646.4,-0.0044411
896.8,0.009701787,729.5,-0.004327615
980,0.009544529,812.7,0.008429865
1063.2,0.009363043,895.3,0.009726013
1146,0.008931028,978.9,0.009584104
1229.6,0.008103524,1062.3,0.009417308
1312.8,0.007384044,1145,0.009130061
1396.7,0.006831198,1229.6,0.008598292
1479.9,0.006377633,1312.7,0.008005583
1562.7,0.005974037,1395.4,0.007455569
1645.6,0.005635196,1479.3,0.006966619
1729.9,0.00533269,1562,0.006517249
1813.4,0.005046969,1645.2,0.006137972
1896.4,0.004779845,1728.7,0.005803901
1980.4,0.004535229,1812.5,0.005486614
2065.5,0.004318553,1894.9,0.005201559
2147.9,0.004117614,1978.5,0.004926044
2231.2,0.003952629,2062.8,0.004681522
2314.5,0.003810041,2146.1,0.004466849
2397.6,0.00369493,2230.2,0.004278499
2481.5,0.003596035,2312.7,0.004122859
2563,0.003516309,2396.5,0.003986485
2646.7,0.003448884,2479.9,0.003877561
2730,0.003393285,2563.3,0.003786103
2814.8,0.003346459,2646.4,0.003711715
2898.9,0.003306692,2729.9,0.003648296
2980.6,0.003271883,2814.8,0.003593461
3063.9,0.0032427,2898.3,0.003548541
3146.4,0.003216948,2981.5,0.00350925
3229.5,0.003195111,3063.3,0.003475966
3312.7,0.003174797,3146.3,0.003447261
3394.7,0.003157629,3229.1,0.003421704
3477.7,0.003141512,3311.4,0.00340015
3559.6,0.003127591,3394.1,0.003380029
3643.6,0.00311481,3477.2,0.003362003
3725.5,0.003103463,3559.6,0.003346171
3808.1,0.003092303,3643.6,0.00333187
3891.4,0.003083339,3726.2,0.00331928
3972.9,0.003074472,3808.2,0.003307928
4055.3,0.003066556,3892.1,0.003296866
4137.2,0.003059117,3973.8,0.003287428
4219.7,0.003052439,4056.4,0.003278745
4302.4,0.003045766,4138.4,0.003270641
4384.6,0.003039945,4221,0.003262629
4469.4,0.003034319,4303.9,0.003255672
4550.9,0.003029263,4385.9,0.003249088
4633.2,0.003024596,4470.1,0.003242697
4715,0.003019921,4552,0.003237456
4797.6,0.003015817,4634.8,0.003231825
4880.1,0.003012006,4717,0.003226585
4962.1,0.003007617,4799.1,0.003222006
4885.4,0.003010954,4881.3,0.003218093
4806.1,0.003014199,4963.9,0.003213513
4727.4,0.003018009,6908.4,0.003160395
4648,0.003022209,8537.3,0.003139131
4567.7,0.003027454,6959.3,0.003155818
4487.7,0.003032128,5018.6,0.00320684
4405.9,0.003037658,4931.5,0.003215898
4325.6,0.003042809,4848.5,0.003220382
4244.5,0.0030492,4766.2,0.003224769
4163.2,0.003055587,4685.3,0.003229538
4082.6,0.003062551,4603.8,0.003234593
4001.8,0.003070181,4522,0.003239553
3920.6,0.003078667,4439.1,0.003245557
3838.1,0.003087727,4357.1,0.003252043
3756.8,0.003097262,4275.1,0.003258528
3675.5,0.003108037,4192.4,0.003265587
3593.5,0.00311996,4110.3,0.003272932
3511.6,0.003133407,4028.2,0.003281512
3430,0.003147427,3946.8,0.003290284
3346.7,0.003164496,3863.3,0.003300303
3265.6,0.003181948,3780.5,0.003311744
3183,0.003202928,3699,0.00332233
3101.1,0.003226201,3615.8,0.003335969
3019.3,0.003253095,3533.1,0.003350082
2937.1,0.003283706,3450.4,0.003366579
2855.5,0.003319565,3367.3,0.003384128
2771.5,0.003362004,3284.6,0.003404061
2688.2,0.003411308,3202.9,0.003427044
2605.8,0.003468909,3119.8,0.003452984
2522.9,0.003540149,3036.2,0.003482355
2440.5,0.003622736,2955.1,0.003515831
2357.9,0.003724303,2872.5,0.003556169
2274.8,0.003847997,2788.1,0.003602898
2191.9,0.003996782,2704.3,0.003656593
2109.2,0.004166728,2621.5,0.003720393
2024.8,0.004376059,2538.2,0.003796878
1941.7,0.004595499,2454.8,0.003890435
1857.8,0.004848796,2371.9,0.004001554
1774.5,0.005111628,2288.1,0.004132206
1691.5,0.005395633,2204.5,0.00429643
1608.7,0.005718644,2121.9,0.004482681
1524.9,0.006070071,2036.8,0.004702503
1442,0.006472523,1953.5,0.004952652
1358.5,0.0069444,1870.5,0.005220537
1276.1,0.007514888,1787.2,0.005517227
1191.9,0.008299028,1703.1,0.005828887
1108.2,0.009045757,1620.3,0.006177741
1026.6,0.009389841,1536.4,0.00656541
942.8,0.009577525,1453.5,0.007000285
860.7,0.009730971,1370.3,0.007495527
778,0.009863435,1287.1,0.008038005
695,0.009982644,1202.6,0.008643878
612.1,0.01008907,1119.4,0.009106504
528.2,0.01018387,1036.8,0.009378206
445.4,0.01026131,953.7,0.009568274
361.5,0.01032691,870.3,0.009719719
278.7,0.01037757,787.3,0.009858478
195.1,0.01041417,704.2,0.009971965
112.2,0.01043687,620.4,0.01007316
29.4,0.01044673,537.4,0.0101602
-50.2,0.01044346,454.8,0.01023727
-132.8,0.0104264,370.8,0.01029869
-215.7,0.01039577,287.9,0.01034683
-298.3,0.01035171,204.5,0.01038336
-382.6,0.01029041,121.3,0.01040552
-466.2,0.010218,38.5,0.01041503
-549.8,0.01012873,-41.5,0.01041227
-632.8,0.01002613,-123.9,0.01039607
-715.3,-0.002112309,-206.7,0.01036754
-798.4,-0.004210216,-289.2,0.01032464
-882,-0.004073648,-374.1,0.01026826
-965.7,-0.003916762,-456.9,0.01019922
-1048.6,-0.00369884,-540.1,0.01011519
-1131.4,-0.003083817,-624.5,0.01001717
-1216.5,-0.002273955,-706.5,-0.002162664
-1300.4,-0.001618965,-789.6,-0.00417989
-1383.5,-0.001130111,-873.1,-0.004039033
-1467.3,-7.114447E-4,-956.3,-0.003879373
-1550,-3.315946E-4,-1040.1,-0.00369493
-1633.3,-1.2111767E-5,-1122.2,-0.003352656
-1716.8,2.862948E-4,-1207.4,-0.002762619
-1799.9,5.511319E-4,-1291.6,-0.002157418
-1883.9,8.053816E-4,-1375.1,-0.001606186
-1966.6,0.001039035,-1458.9,-0.001113326
-2051.7,0.001250083,-1540.6,-6.902732E-4
-2135.6,0.001427277,-1624.9,-3.132839E-4
-2217.9,0.001586159,-1708,2.717982E-5
-2300.5,0.001713761,-1791.8,3.355044E-4
-2384.4,0.001823909,-1875.4,6.241834E-4
-2467.6,0.001917084,-1958.7,9.008445E-4
-2551.6,0.001989666,-2044.6,0.001142222
-2634.1,0.002052513,-2127.6,0.001352602
-2717.3,0.002105538,-2209.9,0.001534947
-2802.7,0.002150266,-2293.1,0.001683339
-2886.1,0.00218679,-2376.5,0.00181218
-2970.4,0.002219407,-2459.9,0.001917084
-3053.4,0.002246871,-2543.9,0.002003973
-3134.7,0.002270141,-2626.7,0.002076641
-3218.8,0.002291502,-2709.4,0.002137866
-3301.4,0.002310003,-2794.1,0.002189746
-3384.9,0.0023266,-2878.1,0.002234664
-3468.6,0.002341761,-2962.3,0.002272145
-3550.6,0.00235416,-3044.8,0.002305523
-3635.8,0.002366462,-3127.6,0.002333467
-3717.7,0.002377239,-3210.7,0.002358166
-3799.4,0.002387063,-3294.4,0.002380671
-3882.3,0.002396026,-3377.8,0.002400032
-3965.2,0.002404417,-3460.9,0.002417199
-4048.7,0.002411857,-3544.2,0.002433031
-4131.2,0.002419201,-3628.6,0.002447429
-4214.6,0.002425399,-3711.1,0.002460018
-4297.8,0.002431119,-3793.6,0.002472132
-4380.5,0.002437037,-3876.6,0.002482618
-4465.3,0.002442278,-3960.1,0.002492157
-4548.2,0.002447526,-4043.3,0.002501314
-4630.6,0.002451529,-4127.3,0.002510182
-4713.5,0.002455729,-4210.7,0.002517622
-4795.8,0.002459919,-4292.7,0.002524579
-4878.4,0.002464024,-4375.9,0.002531353
-4961.3,0.00246736,-4460.7,0.002537455
,,-4543.2,0.002543465
,,-4626.5,0.002548902
,,-4708.5,0.002554145
,,-4792.5,0.002559107
,,-4875.7,0.002563876
,,-4958.1,0.002567879
,,-6922,0.002624525
,,-8563,0.002647797
