Hx,Hx_1f_voltage,Hy,Hy_1f_voltage
-4951.4,0.002444282,-8563.8,0.00265533
-4889.2,0.002449336,-6972.7,0.002636925
-4812.9,0.002446476,-5014.1,0.002583613
-4733.2,0.00244304,-4926.4,0.002574554
-4652.4,0.002438561,-4843.2,0.002569783
-4571,0.002434267,-4760.8,0.002565021
-4490,0.002429497,-4678,0.002560155
-4406.9,0.002424354,-4595.7,0.002555003
-4325.2,0.002418628,-4514.4,0.002548899
-4244.5,0.002412906,-4430.6,0.002543178
-4161.9,0.002413004,-4348.1,0.00253717
-4080.1,0.002413286,-4265,0.002530304
-3997.7,0.002405849,-4182.7,0.002523149
-3916,0.002398315,-4099.8,0.002515519
-3834.9,0.002389733,-4016.3,0.002506938
-3752.4,0.00238048,-3933.2,0.002497782
-3670.9,0.002370181,-3850.6,0.002487386
-3587.8,0.002359025,-3767.5,0.002476705
-3505.4,0.002346721,-3685.5,0.002464693
-3423.5,0.002332605,-3601.1,0.002451242
-3340.3,0.002317349,-3518.5,0.002437226
-3257.9,0.002300087,-3434.9,0.002420725
-3174.9,0.002281108,-3352.4,0.002403083
-3092.9,0.00225927,-3269.2,0.002382486
-3010.6,0.00223476,-3185.7,0.00236074
-2927.7,0.002206149,-3103.7,0.002335374
-2844.2,0.002171151,-3020.6,0.002306381
-2759.3,0.002131953,-2937.1,0.002273195
-2676.3,0.002086177,-2852.7,0.002233522
-2594.5,0.002031818,-2767.1,0.002188032
-2511.5,0.001967828,-2684.8,0.00213758
-2427.8,0.001886661,-2601.6,0.002074447
-2345,0.001792342,-2518.3,0.002001299
-2263.1,0.001680382,-2434.7,0.001911459
-2180.6,0.001546104,-2351,0.001803026
-2097.3,0.0013815,-2268.4,0.001679047
-2012.6,0.001184947,-2184.9,0.001525789
-1928.8,9.719904E-4,-2102.2,0.001346405
-1846.1,7.329023E-4,-2016.4,0.001124104
-1763.4,4.790328E-4,-1932.7,8.84346E-4
-1679.4,2.087605E-4,-1849.1,6.169356E-4
