hx,rxy_hx,h45,rxy_h45,hy,rxy_hy
-4250,0.696145325,-4250,0.50056304,-4250,0.695227249
-4333.333,0.699766759,-4333.333,0.504339888,-4333.333,0.698951119
-4416.667,0.702964352,-4416.667,0.508725158,-4416.667,0.702520889
-4500,0.705761388,-4500,0.511665814,-4500,0.704644803
-4583.333,0.708497127,-4583.333,0.514590139,-4583.333,0.707690496
-4666.667,0.71158312,-4666.667,0.517610754,-4666.667,0.710506223
-4750,0.714698252,-4750,0.519761735,-4750,0.712926943
-4833.333,0.717306002,-4833.333,0.521812799,-4833.333,0.714528424
-4916.667,0.718747696,-4916.667,0.523727046,-4916.667,0.717440785
-5000,0.721036951,-5000,0.525792983,-5000,0.718824767
-7000,0.749085796,-7000,0.553336929,-7000,0.746925841
-9000,0.760514465,-9000,0.561624369,-9000,0.755356434
