F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase
-150.000000E+0	5.000000E+3	12.005320E-3	4.764590E-3	-150.000000E+0	5.000000E+3	34.366028E-9	344.591200E-9	-150.000000E+0	4.500000E+3	20.861739E-9	390.132800E-9	-150.000000E+0	4.000000E+3	-1.210737E-9	387.525200E-9	-150.000000E+0	3.500000E+3	-31.292612E-9	442.287100E-9	-150.000000E+0	3.000000E+3	3.259624E-9	492.672800E-9	-150.000000E+0	2.500000E+3	30.361242E-9	457.467700E-9	-150.000000E+0	2.000000E+3	13.504280E-9	561.684400E-9	-150.000000E+0	1.500000E+3	15.832575E-9	550.694800E-9	-150.000000E+0	1.000000E+3	-4.936038E-9	688.064700E-9	-150.000000E+0	500.000000E+0	8.195683E-9	963.925000E-9	-150.000000E+0	100.000000E+0	-110.734850E-9	2.721060E-6
-145.000000E+0	5.000000E+3	12.022720E-3	4.767450E-3	-145.000000E+0	5.000000E+3	-4.377242E-9	342.169700E-9	-145.000000E+0	4.500000E+3	25.425226E-9	359.958200E-9	-145.000000E+0	4.000000E+3	54.389530E-9	356.232800E-9	-145.000000E+0	3.500000E+3	34.365989E-9	378.118900E-9	-145.000000E+0	3.000000E+3	28.684900E-9	396.931600E-9	-145.000000E+0	2.500000E+3	7.264357E-9	454.208100E-9	-145.000000E+0	2.000000E+3	20.768626E-9	483.545300E-9	-145.000000E+0	1.500000E+3	-1.583260E-9	550.322200E-9	-145.000000E+0	1.000000E+3	7.357494E-9	634.606800E-9	-145.000000E+0	500.000000E+0	-21.141170E-9	882.618000E-9	-145.000000E+0	100.000000E+0	-56.159070E-9	2.361756E-6
-140.000000E+0	5.000000E+3	12.036200E-3	4.769360E-3	-140.000000E+0	5.000000E+3	-5.401702E-9	312.926200E-9	-140.000000E+0	4.500000E+3	12.479798E-9	376.069900E-9	-140.000000E+0	4.000000E+3	-25.797782E-9	327.734200E-9	-140.000000E+0	3.500000E+3	14.714968E-9	366.756600E-9	-140.000000E+0	3.000000E+3	8.195688E-9	356.884500E-9	-140.000000E+0	2.500000E+3	25.332100E-9	423.474200E-9	-140.000000E+0	2.000000E+3	33.062128E-9	437.816600E-9	-140.000000E+0	1.500000E+3	28.405496E-9	492.300300E-9	-140.000000E+0	1.000000E+3	2.607712E-9	521.451100E-9	-140.000000E+0	500.000000E+0	-3.166530E-9	730.253600E-9	-140.000000E+0	100.000000E+0	-43.958656E-9	1.923474E-6
-135.000000E+0	5.000000E+3	12.044400E-3	4.770310E-3	-135.000000E+0	5.000000E+3	4.377258E-9	258.909300E-9	-135.000000E+0	4.500000E+3	24.866443E-9	301.191500E-9	-135.000000E+0	4.000000E+3	20.302944E-9	288.152900E-9	-135.000000E+0	3.500000E+3	14.156175E-9	327.548000E-9	-135.000000E+0	3.000000E+3	19.744159E-9	323.450000E-9	-135.000000E+0	2.500000E+3	26.170310E-9	317.675900E-9	-135.000000E+0	2.000000E+3	37.253080E-9	352.786800E-9	-135.000000E+0	1.500000E+3	1.583242E-9	393.019900E-9	-135.000000E+0	1.000000E+3	11.641578E-9	435.860800E-9	-135.000000E+0	500.000000E+0	1.210722E-9	556.562000E-9	-135.000000E+0	100.000000E+0	-12.200388E-9	1.466933E-6
-130.000000E+0	5.000000E+3	12.047800E-3	4.771260E-3	-130.000000E+0	5.000000E+3	35.483603E-9	213.367000E-9	-130.000000E+0	4.500000E+3	7.730014E-9	204.798800E-9	-130.000000E+0	4.000000E+3	32.410180E-9	243.821600E-9	-130.000000E+0	3.500000E+3	-11.734749E-9	282.471800E-9	-130.000000E+0	3.000000E+3	34.552250E-9	270.737400E-9	-130.000000E+0	2.500000E+3	30.640688E-9	279.491500E-9	-130.000000E+0	2.000000E+3	14.342460E-9	357.909100E-9	-130.000000E+0	1.500000E+3	21.886204E-9	340.586600E-9	-130.000000E+0	1.000000E+3	25.145856E-9	328.013700E-9	-130.000000E+0	500.000000E+0	16.391363E-9	388.270200E-9	-130.000000E+0	100.000000E+0	8.661339E-9	920.151100E-9
-125.000000E+0	5.000000E+3	12.045360E-3	4.770785E-3	-125.000000E+0	5.000000E+3	2.700846E-9	251.365700E-9	-125.000000E+0	4.500000E+3	10.803409E-9	198.000200E-9	-125.000000E+0	4.000000E+3	12.200396E-9	189.152400E-9	-125.000000E+0	3.500000E+3	23.748880E-9	249.782300E-9	-125.000000E+0	3.000000E+3	34.365976E-9	248.664700E-9	-125.000000E+0	2.500000E+3	24.680179E-9	223.239300E-9	-125.000000E+0	2.000000E+3	58.953090E-9	280.888600E-9	-125.000000E+0	1.500000E+3	87.079200E-9	247.733300E-9	-125.000000E+0	1.000000E+3	14.156194E-9	284.241500E-9	-125.000000E+0	500.000000E+0	5.960492E-9	235.719100E-9	-125.000000E+0	100.000000E+0	22.444986E-9	508.784600E-9
-120.000000E+0	5.000000E+3	12.036680E-3	4.770310E-3	-120.000000E+0	5.000000E+3	30.547548E-9	199.676700E-9	-120.000000E+0	4.500000E+3	40.978414E-9	207.033900E-9	-120.000000E+0	4.000000E+3	50.943624E-9	200.142300E-9	-120.000000E+0	3.500000E+3	49.826040E-9	150.502500E-9	-120.000000E+0	3.000000E+3	-2.793979E-9	212.528800E-9	-120.000000E+0	2.500000E+3	24.493924E-9	238.047500E-9	-120.000000E+0	2.000000E+3	21.979310E-9	197.441500E-9	-120.000000E+0	1.500000E+3	60.350030E-9	196.416900E-9	-120.000000E+0	1.000000E+3	52.526870E-9	186.638100E-9	-120.000000E+0	500.000000E+0	24.773326E-9	136.346500E-9	-120.000000E+0	100.000000E+0	49.360330E-9	-73.667980E-9
-115.000000E+0	5.000000E+3	12.023120E-3	4.767830E-3	-115.000000E+0	5.000000E+3	4.190974E-9	115.112110E-9	-115.000000E+0	4.500000E+3	13.038573E-9	112.131880E-9	-115.000000E+0	4.000000E+3	36.880568E-9	128.989000E-9	-115.000000E+0	3.500000E+3	23.096936E-9	170.433000E-9	-115.000000E+0	3.000000E+3	46.752657E-9	155.811200E-9	-115.000000E+0	2.500000E+3	47.218260E-9	189.618200E-9	-115.000000E+0	2.000000E+3	37.159984E-9	154.600300E-9	-115.000000E+0	1.500000E+3	651.936000E-12	128.988870E-9	-115.000000E+0	1.000000E+3	58.394278E-9	103.749870E-9	-115.000000E+0	500.000000E+0	36.228626E-9	-3.539076E-9	-115.000000E+0	100.000000E+0	48.056510E-9	-532.906200E-9
-110.000000E+0	5.000000E+3	12.004540E-3	4.765445E-3	-110.000000E+0	5.000000E+3	15.087510E-9	81.211750E-9	-110.000000E+0	4.500000E+3	28.312342E-9	98.255090E-9	-110.000000E+0	4.000000E+3	50.012286E-9	105.798830E-9	-110.000000E+0	3.500000E+3	14.528714E-9	98.441320E-9	-110.000000E+0	3.000000E+3	13.597368E-9	84.378320E-9	-110.000000E+0	2.500000E+3	22.258738E-9	126.660350E-9	-110.000000E+0	2.000000E+3	43.120460E-9	106.916590E-9	-110.000000E+0	1.500000E+3	36.601172E-9	91.456380E-9	-110.000000E+0	1.000000E+3	58.394270E-9	72.364160E-9	-110.000000E+0	500.000000E+0	49.826062E-9	-49.919136E-9	-110.000000E+0	100.000000E+0	112.131790E-9	-846.110300E-9
-105.000000E+0	5.000000E+3	11.983830E-3	4.762585E-3	-105.000000E+0	5.000000E+3	45.541920E-9	37.998194E-9	-105.000000E+0	4.500000E+3	38.370635E-9	79.162750E-9	-105.000000E+0	4.000000E+3	52.619968E-9	41.723470E-9	-105.000000E+0	3.500000E+3	49.174080E-9	74.133680E-9	-105.000000E+0	3.000000E+3	10.523995E-9	58.766780E-9	-105.000000E+0	2.500000E+3	14.621846E-9	77.020800E-9	-105.000000E+0	2.000000E+3	23.562610E-9	46.752676E-9	-105.000000E+0	1.500000E+3	81.491100E-9	49.174106E-9	-105.000000E+0	1.000000E+3	9.406386E-9	31.385745E-9	-105.000000E+0	500.000000E+0	26.263440E-9	-122.655950E-9	-105.000000E+0	100.000000E+0	90.711330E-9	-1.014403E-6
-100.000000E+0	5.000000E+3	11.958160E-3	4.758860E-3	-100.000000E+0	5.000000E+3	4.377218E-9	32.503332E-9	-100.000000E+0	4.500000E+3	46.845770E-9	17.602100E-9	-100.000000E+0	4.000000E+3	62.864640E-9	70.222290E-9	-100.000000E+0	3.500000E+3	42.375390E-9	4.656648E-9	-100.000000E+0	3.000000E+3	50.291698E-9	56.717860E-9	-100.000000E+0	2.500000E+3	40.419600E-9	25.704640E-9	-100.000000E+0	2.000000E+3	73.761180E-9	17.415818E-9	-100.000000E+0	1.500000E+3	-2.700850E-9	22.724410E-9	-100.000000E+0	1.000000E+3	69.104550E-9	-21.141154E-9	-100.000000E+0	500.000000E+0	36.508066E-9	-96.392520E-9	-100.000000E+0	100.000000E+0	111.666250E-9	-1.036664E-6
