4pf_1.0_GHz	4pf_1.0_GHz	4pf_2.0_GHz	4pf_2.0_GHz	4pf_3.0_GHz	4pf_3.0_GHz	4pf_4.0_GHz	4pf_4.0_GHz	4pf_5.0_GHz	4pf_5.0_GHz	4pf_6.0_GHz	4pf_6.0_GHz	4pf_7.0_GHz	4pf_7.0_GHz	4pf_8.0_GHz	4pf_8.0_GHz	4pf_9.0_GHz	4pf_9.0_GHz	4pf_10.0_GHz	4pf_10.0_GHz	4pf_11.0_GHz	4pf_11.0_GHz	4pf_12.0_GHz	4pf_12.0_GHz	4pf_13.0_GHz	4pf_13.0_GHz	4pf_14.0_GHz	4pf_14.0_GHz	4pf_15.0_GHz	4pf_15.0_GHz	4pf_16.0_GHz	4pf_16.0_GHz	4pf_17.0_GHz	4pf_17.0_GHz
573.600000E+0	31.152107E-6	572.000000E+0	21.370387E-6	585.200000E+0	8.227483E-6	574.000000E+0	-164.907067E-9	577.200000E+0	-12.723673E-6	577.000000E+0	16.556287E-6	575.300000E+0	8.744059E-6	574.500000E+0	6.498924E-6	580.700000E+0	5.231330E-6	574.500000E+0	2.819315E-6	583.800000E+0	3.343839E-6	577.900000E+0	3.387549E-6	582.800000E+0	814.600067E-9	586.400000E+0	2.755736E-6	575.600000E+0	931.823533E-9	582.700000E+0	1.919279E-6	585.100000E+0	1.547743E-6
625.000000E+0	29.199707E-6	625.100000E+0	22.457153E-6	629.900000E+0	6.159183E-6	633.700000E+0	-977.522333E-9	633.400000E+0	-14.782013E-6	632.500000E+0	15.997973E-6	630.800000E+0	10.305710E-6	630.200000E+0	5.704195E-6	627.900000E+0	3.359733E-6	638.700000E+0	3.562392E-6	627.100000E+0	2.078227E-6	638.100000E+0	1.227863E-6	636.000000E+0	1.631189E-6	636.300000E+0	2.634541E-6	628.000000E+0	2.070281E-6	636.100000E+0	2.115976E-6	634.000000E+0	1.565623E-6
679.200000E+0	29.210613E-6	680.900000E+0	20.065033E-6	685.500000E+0	6.248583E-6	682.000000E+0	-1.211967E-6	681.300000E+0	-16.441053E-6	682.300000E+0	18.346420E-6	686.100000E+0	9.534811E-6	678.800000E+0	5.914795E-6	683.600000E+0	4.065061E-6	682.100000E+0	4.315405E-6	687.200000E+0	3.099457E-6	681.800000E+0	2.996143E-6	684.300000E+0	3.168997E-6	683.800000E+0	1.968950E-6	688.600000E+0	2.849117E-6	684.000000E+0	1.998753E-6	686.800000E+0	1.029180E-6
729.600000E+0	28.919040E-6	731.000000E+0	19.037840E-6	738.100000E+0	6.727407E-6	730.600000E+0	-4.214070E-6	736.100000E+0	-19.792840E-6	732.600000E+0	19.314020E-6	730.800000E+0	10.573927E-6	733.800000E+0	5.716116E-6	736.800000E+0	5.410145E-6	741.900000E+0	3.790876E-6	739.600000E+0	3.415363E-6	734.500000E+0	3.439208E-6	732.300000E+0	2.074253E-6	738.600000E+0	2.259027E-6	741.400000E+0	1.883517E-6	731.900000E+0	582.142073E-9	731.000000E+0	2.350424E-6
789.900000E+0	28.145173E-6	784.700000E+0	19.149093E-6	784.700000E+0	4.373024E-6	788.900000E+0	-5.416105E-6	783.800000E+0	-21.841260E-6	785.500000E+0	19.925947E-6	782.100000E+0	11.140180E-6	786.600000E+0	5.825390E-6	782.700000E+0	5.259145E-6	783.700000E+0	4.577667E-6	785.600000E+0	2.628579E-6	785.600000E+0	1.760332E-6	784.000000E+0	2.785541E-6	785.000000E+0	2.121939E-6	783.000000E+0	1.494100E-6	789.800000E+0	1.339125E-6	788.300000E+0	1.351045E-6
834.500000E+0	25.009473E-6	839.000000E+0	18.046420E-6	839.600000E+0	3.918033E-6	840.900000E+0	-5.952545E-6	844.500000E+0	-22.955867E-6	840.600000E+0	22.033973E-6	841.700000E+0	11.062691E-6	842.400000E+0	7.061193E-6	837.100000E+0	5.598890E-6	842.400000E+0	4.833966E-6	833.500000E+0	3.153101E-6	845.400000E+0	2.956405E-6	843.400000E+0	3.033890E-6	844.800000E+0	1.712649E-6	843.200000E+0	2.100082E-6	837.600000E+0	2.819314E-6	841.000000E+0	2.121939E-6
889.700000E+0	24.867920E-6	893.900000E+0	16.107267E-6	887.700000E+0	2.527251E-6	894.800000E+0	-8.334769E-6	886.900000E+0	-27.408327E-6	889.800000E+0	22.351860E-6	888.900000E+0	12.370020E-6	885.500000E+0	7.875807E-6	896.700000E+0	6.288320E-6	891.200000E+0	2.402079E-6	893.800000E+0	2.739843E-6	892.400000E+0	3.230586E-6	886.200000E+0	2.145781E-6	887.800000E+0	3.312048E-6	891.300000E+0	907.982140E-9	892.500000E+0	1.718611E-6	888.500000E+0	3.248473E-6
938.900000E+0	21.815167E-6	936.600000E+0	15.250893E-6	947.500000E+0	-365.577600E-9	943.200000E+0	-9.880521E-6	942.200000E+0	-24.879087E-6	939.600000E+0	20.955127E-6	943.900000E+0	13.528320E-6	944.600000E+0	6.618131E-6	945.700000E+0	4.702836E-6	943.400000E+0	3.892207E-6	936.700000E+0	3.735247E-6	941.300000E+0	1.774241E-6	945.900000E+0	2.493475E-6	942.500000E+0	2.223265E-6	939.400000E+0	1.317270E-6	936.400000E+0	2.179555E-6	948.200000E+0	1.597412E-6
988.900000E+0	21.117040E-6	991.500000E+0	13.170700E-6	994.900000E+0	-699.364340E-9	991.500000E+0	-12.797180E-6	997.400000E+0	-23.599573E-6	1.000400E+3	24.126093E-6	992.600000E+0	12.765380E-6	992.900000E+0	7.557907E-6	989.700000E+0	5.020729E-6	998.600000E+0	3.554443E-6	997.100000E+0	4.480312E-6	989.600000E+0	2.972300E-6	994.400000E+0	3.747167E-6	998.400000E+0	2.104056E-6	1.000300E+3	1.251706E-6	995.900000E+0	2.030543E-6	1.001700E+3	2.193463E-6
1.046600E+3	20.232673E-6	1.041800E+3	12.846853E-6	1.043700E+3	-2.298764E-6	1.048100E+3	-16.051647E-6	1.051300E+3	-21.088247E-6	1.049200E+3	24.471800E-6	1.048500E+3	11.889207E-6	1.048300E+3	7.615533E-6	1.050100E+3	5.118081E-6	1.054900E+3	3.260393E-6	1.053200E+3	3.188863E-6	1.054600E+3	2.187503E-6	1.050200E+3	2.135846E-6	1.046700E+3	2.715999E-6	1.048300E+3	1.943122E-6	1.044600E+3	981.496673E-9	1.045400E+3	2.666329E-6
